                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.29908,                0.38732,                0.79595,                0.98065,                0.98854,                  0.995,                  0.995,                0.07966,                0.13227,                0.75266,               0.003466,               0.003466,               0.003466
                    101,                0.30227,                0.39379,                0.79869,                0.98103,                0.98857,                  0.995,                  0.995,                0.07924,                0.13215,                0.75264,                 0.0034,                 0.0034,                 0.0034
                    102,                0.29724,                0.38877,                0.79814,                0.98076,                0.98871,                  0.995,                  0.995,                0.07948,                0.13258,                0.75274,               0.003334,               0.003334,               0.003334
                    103,                0.29742,                0.38637,                 0.7962,                0.98123,                0.98867,                  0.995,                  0.995,                0.07908,                0.13185,                0.75259,               0.003268,               0.003268,               0.003268
                    104,                0.29347,                0.38369,                0.79732,                0.98131,                0.98859,                  0.995,                  0.995,                0.07885,                 0.1302,                0.75253,               0.003202,               0.003202,               0.003202
                    105,                0.29892,                0.39368,                0.79998,                0.98094,                0.98903,                  0.995,                  0.995,                0.07883,                0.12896,                0.75258,               0.003136,               0.003136,               0.003136
                    106,                0.29396,                0.38105,                0.79451,                0.98096,                 0.9891,                  0.995,                  0.995,                0.07936,                 0.1296,                0.75245,                0.00307,                0.00307,                0.00307
                    107,                0.28787,                0.37537,                 0.7955,                0.98093,                0.98941,                  0.995,                  0.995,                0.07849,                0.12926,                0.75232,               0.003004,               0.003004,               0.003004
                    108,                0.29028,                0.38319,                0.79679,                0.98116,                0.98963,                  0.995,                0.99474,                0.07801,                0.12822,                0.75229,               0.002938,               0.002938,               0.002938
                    109,                0.28895,                0.36702,                0.79717,                0.98096,                0.98951,                  0.995,                  0.995,                 0.0783,                0.12793,                 0.7524,               0.002872,               0.002872,               0.002872
                    110,                0.28826,                 0.3791,                0.79675,                0.98092,                0.98953,                  0.995,                  0.995,                0.07786,                0.12756,                0.75237,               0.002806,               0.002806,               0.002806
                    111,                0.28759,                0.36978,                0.79358,                0.98114,                 0.9894,                  0.995,                  0.995,                0.07721,                 0.1278,                0.75229,                0.00274,                0.00274,                0.00274
                    112,                0.28316,                 0.3675,                  0.797,                0.98146,                0.99005,                  0.995,                  0.995,                0.07716,                0.12603,                0.75224,               0.002674,               0.002674,               0.002674
                    113,                0.28032,                0.36886,                0.79536,                0.98126,                0.99057,                  0.995,                  0.995,                0.07636,                0.12568,                0.75223,               0.002608,               0.002608,               0.002608
                    114,                0.27849,                0.36834,                0.79445,                0.98125,                0.99075,                  0.995,                  0.995,                0.07619,                0.12515,                0.75226,               0.002542,               0.002542,               0.002542
                    115,                0.28557,                 0.3664,                0.79679,                0.98123,                0.99126,                  0.995,                0.99474,                 0.0757,                0.12535,                0.75219,               0.002476,               0.002476,               0.002476
                    116,                0.28571,                0.36491,                0.79606,                0.98146,                 0.9912,                  0.995,                  0.995,                0.07534,                0.12367,                0.75215,                0.00241,                0.00241,                0.00241
                    117,                0.27927,                0.36543,                0.79378,                0.98144,                0.99096,                  0.995,                0.99474,                0.07501,                0.12296,                0.75201,               0.002344,               0.002344,               0.002344
                    118,                0.27921,                0.36249,                0.79591,                0.98167,                0.99099,                  0.995,                0.99474,                0.07495,                0.12293,                0.75197,               0.002278,               0.002278,               0.002278
